age_group,window,threshold_ug_dl,n_days,mean_bll,p95_bll,pct_days_exceed
Adult_18plus,0–90d post,3.5,1080,7.136581222040952,13.462323987272512,89.16666666666667
Adult_18plus,0–90d post,5,1080,7.136581222040952,13.462323987272512,67.77777777777779
Adult_18plus,180d+ post,3.5,3520,3.6036213932924857,10.180584680367375,33.46590909090909
Adult_18plus,180d+ post,5,3520,3.6036213932924857,10.180584680367375,21.335227272727273
Adult_18plus,90–180d post,3.5,1080,2.638799070805973,5.460575689872351,19.537037037037035
Adult_18plus,90–180d post,5,1080,2.638799070805973,5.460575689872351,6.666666666666667
Adult_18plus,Pre-flood,3.5,2076,3.3085040100288783,8.88162006146792,29.527938342967246
Adult_18plus,Pre-flood,5,2076,3.3085040100288783,8.88162006146792,18.159922928709054
Child_3_6y,0–90d post,3.5,1080,23.193888971633093,43.75255295863566,100
Child_3_6y,0–90d post,5,1080,23.193888971633093,43.75255295863566,100
Child_3_6y,180d+ post,3.5,3520,11.711769528200579,33.08690021119396,91.98863636363637
Child_3_6y,180d+ post,5,3520,11.711769528200579,33.08690021119396,73.75
Child_3_6y,90–180d post,3.5,1080,8.576096980119413,17.74687099208514,96.29629629629629
Child_3_6y,90–180d post,5,1080,8.576096980119413,17.74687099208514,80.0925925925926
Child_3_6y,Pre-flood,3.5,2076,10.75263803259385,28.865265199770736,87.37957610789981
Child_3_6y,Pre-flood,5,2076,10.75263803259385,28.865265199770736,75.28901734104046
Child_7_12y,0–90d post,3.5,1080,18.241719961686954,34.41086657164047,100
Child_7_12y,0–90d post,5,1080,18.241719961686954,34.41086657164047,100
Child_7_12y,180d+ post,3.5,3520,9.21116852161127,26.022456552717735,80.17045454545455
Child_7_12y,180d+ post,5,3520,9.21116852161127,26.022456552717735,64.0340909090909
Child_7_12y,90–180d post,3.5,1080,6.744999067079361,13.957704601834543,86.48148148148148
Child_7_12y,90–180d post,5,1080,6.744999067079361,13.957704601834543,59.62962962962963
Child_7_12y,Pre-flood,3.5,2076,8.45682291916873,22.702190436370397,79.38342967244701
Child_7_12y,Pre-flood,5,2076,8.45682291916873,22.702190436370397,62.138728323699425
Infant_0_6mo,0–90d post,3.5,1080,52.22906562916001,98.52401047166784,100
Infant_0_6mo,0–90d post,5,1080,52.22906562916001,98.52401047166784,100
Infant_0_6mo,180d+ post,3.5,3520,26.373101124615523,74.50660321386546,100
Infant_0_6mo,180d+ post,5,3520,26.373101124615523,74.50660321386546,100
Infant_0_6mo,90–180d post,3.5,1080,19.312049504269027,39.96322009178726,100
Infant_0_6mo,90–180d post,5,1080,19.312049504269027,39.96322009178726,100
Infant_0_6mo,Pre-flood,3.5,2076,24.21328472244573,65.00013138658146,100
Infant_0_6mo,Pre-flood,5,2076,24.21328472244573,65.00013138658146,98.79576107899807
Infant_6_12mo,0–90d post,3.5,1080,46.33867724602939,87.41248320709167,100
Infant_6_12mo,0–90d post,5,1080,46.33867724602939,87.41248320709167,100
Infant_6_12mo,180d+ post,3.5,3520,23.39874562695882,66.10375654696192,100
Infant_6_12mo,180d+ post,5,3520,23.39874562695882,66.10375654696192,100
Infant_6_12mo,90–180d post,3.5,1080,17.134038646060628,35.45617244416995,100
Infant_6_12mo,90–180d post,5,1080,17.134038646060628,35.45617244416995,100
Infant_6_12mo,Pre-flood,3.5,2076,21.482513085457104,57.66942358606285,100
Infant_6_12mo,Pre-flood,5,2076,21.482513085457104,57.66942358606285,96.29094412331408
Pregnant_Adult,0–90d post,3.5,1080,5.994728226514379,11.30835214930887,81.38888888888889
Pregnant_Adult,0–90d post,5,1080,5.994728226514379,11.30835214930887,50.37037037037037
Pregnant_Adult,180d+ post,3.5,3520,3.0270419703656777,8.551691131508564,27.244318181818183
Pregnant_Adult,180d+ post,5,3520,3.0270419703656777,8.551691131508564,15.795454545454547
Pregnant_Adult,90–180d post,3.5,1080,2.2165912194770097,4.586883579492759,11.851851851851853
Pregnant_Adult,90–180d post,5,1080,2.2165912194770097,4.586883579492759,3.6111111111111107
Pregnant_Adult,Pre-flood,3.5,2076,2.7791433684242475,7.460560851633026,24.277456647398843
Pregnant_Adult,Pre-flood,5,2076,2.7791433684242475,7.460560851633026,12.716763005780345
Teen_13_17y,0–90d post,3.5,1080,10.687259515141053,20.160262407515017,99.53703703703704
Teen_13_17y,0–90d post,5,1080,10.687259515141053,20.160262407515017,91.48148148148148
Teen_13_17y,180d+ post,3.5,3520,5.396538738392848,15.245752428196928,55.85227272727272
Teen_13_17y,180d+ post,5,3520,5.396538738392848,15.245752428196928,35.11363636363637
Teen_13_17y,90–180d post,3.5,1080,3.9516863327944165,8.177387418992556,51.01851851851852
Teen_13_17y,90–180d post,5,1080,3.9516863327944165,8.177387418992556,22.314814814814817
Teen_13_17y,Pre-flood,3.5,2076,4.954590981583673,13.300511205370261,51.73410404624278
Teen_13_17y,Pre-flood,5,2076,4.954590981583673,13.300511205370261,32.70712909441233
Toddler_1_2y,0–90d post,3.5,1080,29.11379934312747,54.91976999394886,100
Toddler_1_2y,0–90d post,5,1080,29.11379934312747,54.91976999394886,100
Toddler_1_2y,180d+ post,3.5,3520,14.701032173345702,41.53186103515944,98.7215909090909
Toddler_1_2y,180d+ post,5,3520,14.701032173345702,41.53186103515944,85.08522727272727
Toddler_1_2y,90–180d post,3.5,1080,10.76502379276578,22.27650747418218,100
Toddler_1_2y,90–180d post,5,1080,10.76502379276578,22.27650747418218,91.48148148148148
Toddler_1_2y,Pre-flood,3.5,2076,13.497096001153116,36.232713713517185,94.89402697495183
Toddler_1_2y,Pre-flood,5,2076,13.497096001153116,36.232713713517185,82.7552986512524
